Ligne,Nom,Note Oct 22,Note Dec 29,Difference,Evolution,Comments Oct,Comments Dec
44 B,UrbanFlat 44 - Apartment in center of Paris,X,7.0,NEW,★ New Rating,0,3
52 A,Urban Flat 52 - Charming 2 BDR Flat in Center of Paris,6.8,6.3,-0.5,↓ Degraded,11,14
52 B,52 - Urban Collection Grands Boulevards,6.1,6.1,0,= Stable,52,49
55 B,55-ATELIER MARILYN MONROE,7.1,6.7,-0.4,↓ Degraded,75,75
55 A,UrbanFlat 55 - Triplex Marylin Monroe Historic Passage,X,9.0,NEW,★ New Rating,0,2
57 A,Urban Flat 57 - Luxury 4BDR Parisian Flat in Paris,8.5,8.2,-0.3,↓ Degraded,35,43
57 B,57-LUXURY PARISIEN HOME SEBASTOPOL 1 (2G),6.7,6.7,0,= Stable,14,13
60 B,Urban Flat 60 - Sublime Parisian Flat in Paris,10,9.6,-0.4,↓ Degraded,2,5
60 A,60-LUXURY PARISIAN HOME SEBASTOPOL (2DG),6.9,6.8,-0.1,↓ Degraded,33,32
61 B,Urban Flat 61 - Pretty 3 Bedrooms in Center of Paris,7.0,6.9,-0.1,↓ Degraded,22,22
61 A,61- Big Luxury Parisian Flat 2DD,6.5,6.5,0,= Stable,23,22
62 A,62 - Beautiful Apartment Triangle d Or,7.4,7.3,-0.1,↓ Degraded,20,20
62 B,Urban Flat 62 - Beautiful Apartment Mermoz Champs-Elysees,7.5,7.5,0,= Stable,2,2
63 A,Urban Flat 63 - Beautiful 3 Bedroom Flat Champs-Elysees,7.5,7.6,+0.1,↑ Improved,29,30
63 B,Urban Flat 63 - 3 Bedrooms Flat Champs-Elysees Mermoz,10,4.0,-6.0,↓ Degraded,1,3
64 A,64 - Urban Luxury Flat near Champs-Elysees,6.0,5.9,-0.1,↓ Degraded,7,7
64 B,Urban Flat 64 - Luxury flat Mermoz - Champs Elysees,7.3,8.0,+0.7,↑ Improved,3,7
65,65-FRENCH CANCAN ST DENIS,6.5,6.8,+0.3,↑ Improved,99,103
66 A,Urban Flat 66 - Pretty 3 bedroom in Paris,6.3,5.9,-0.4,↓ Degraded,22,25
66 B,66 - Atelier Fidelite Paris,5.9,5.9,0,= Stable,19,19
67 B,67 - Amazing Parisian Flat,6.4,6.4,0,= Stable,10,10
67 A,Urban Flat 67 - Spacious Flat in Central Paris,7.0,7.5,+0.5,↑ Improved,1,2
68 B,68 - The Rolling Stones Flat,7.3,7.1,-0.2,↓ Degraded,60,65
69 A,Urban Flat 69 - Beautiful Parisian Apartment,5.8,5.8,0,= Stable,5,5
69 B,69 - Authentic Parisian Home,6.1,7.1,+1.0,↑ Improved,10,9
70 A,Urban Flat 70 - Authentic 3BDR Parisian Flat,7.4,7.5,+0.1,↑ Improved,10,10
70 B,70 - Authentic Parisian Flat,6.4,6.4,0,= Stable,6,6
71 A,Urban Flat 71 - Amazing Apartment in Le Marais,8.5,8.0,-0.5,↓ Degraded,4,5
71 B,71 - Amazing Apartment in Le Marais,8.0,7.9,-0.1,↓ Degraded,37,40
72 A,Urban Flat 72 - Pretty 3 Bedroom Flat - Triangle d Or,7.7,7.5,-0.2,↓ Degraded,25,29
72 B,72 - Mermoz Mickey Mouse,6.0,5.5,-0.5,↓ Degraded,6,4
73 A,Urban Flat 73 - Luxury Parisian Flat near Les Halles Rivoli,5.8,5.8,0,= Stable,10,10
73 B,73 - Etienne Marcel,8.3,8.0,-0.3,↓ Degraded,17,24
74 A,Urban Flat 74 - Disneyland in Paris Apartment,7.2,7.1,-0.1,↓ Degraded,33,32
74 B,Urban Flat 74 - Disneyland in Paris Apartment,8.5,8.4,-0.1,↓ Degraded,2,5
75 A,Urban Flat 75 - Sublime 3BDR Flat near Les Jardins du Luxembourg,7.7,7.7,0,= Stable,8,11
75 B,UrbanFlat 75 - Grand Apartment near Jardin du Luxembourg,X,8.0,NEW,★ New Rating,0,1
76 B,76 - Urban Jardins du Marais,6.6,6.7,+0.1,↑ Improved,39,35
76 A,76 A - Temple RD,X,8.4,NEW,★ New Rating,0,17
77 A,Urban Flat 77 - Sublime and Spacious Flat in Le Marais,6.8,6.8,0,= Stable,4,4
77 B,77 - Urban Sublime Le Marais,6.7,6.3,-0.4,↓ Degraded,23,22
78 A,Urban Flat 78 - Luxury 3 BDR Flat in Le Marais,7.6,7.8,+0.2,↑ Improved,7,10
79 B,79 - Urban Love Le Marais,7.8,7.8,0,= Stable,37,41
80 A,80 - Paris Cinema Sebastopol,5.4,5.5,+0.1,↑ Improved,31,30
80 B,UrbanFlat 80 - The Parisian Triplex Central Loft,5.5,5.5,0,= Stable,2,2
81 B,81 - Paris Luxe Sebastopol,5.9,6.0,+0.1,↑ Improved,38,35
81 A,81 - Paris Luxe Sebastopol,5.4,5.6,+0.2,↑ Improved,8,11
86 B,86 - Urban Charming Apartment,6.2,6.2,0,= Stable,51,45
86 A,Urban Flat 86 - Charming Paris Central Flat,5.0,5.0,0,= Stable,1,1
89 A,Urban Flat 89 - Charming 3 Bedroom Flat in Paris,6.0,6.0,0,= Stable,9,9
89 B,Urban Flat 89 - Charming Central Flat,6.8,6.8,0,= Stable,9,9
90,90 - Karl Lagerfeld Lafayette,6.9,7.4,+0.5,↑ Improved,61,66
91 B,91 - Urban Picasso Le Marais,8.0,8.2,+0.2,↑ Improved,19,22
92 B,92 - Beautiful Apartment in Montorgueil,7.9,7.8,-0.1,↓ Degraded,73,76
93,93 - Luxury Flat in Le Marais,7.2,6.7,-0.5,↓ Degraded,80,82
94 A,Urban Flat 94 - Beautiful Flat Coco Chanel in Paris,7.4,7.3,-0.1,↓ Degraded,24,24
94 B,94 - Urban French Kiss Montorgueil,6.8,6.8,0,= Stable,9,9
96 B,96 - Urban Musee du Louvre,6.0,6.0,0,= Stable,56,59
97 B,Urban Flat 97 - Spacious 1 Bedroom in Paris,7.4,7.5,+0.1,↑ Improved,12,15
97 A,97 - Urban Colonnes de Buren,6.5,6.7,+0.2,↑ Improved,27,27
98 B,98 - Urban Arts et Metiers,8.4,8.2,-0.2,↓ Degraded,23,25
99 A,Urban Flat 99 - Spacious 6 BDR Apartment in Paris,7.6,7.9,+0.3,↑ Improved,19,21
100 B,100 - Luxury 2 Bedroom - Beaubourg Marais,7.8,7.7,-0.1,↓ Degraded,81,87
101 B,101 - Urban Centre Pompidou,6.6,6.8,+0.2,↑ Improved,45,45
101 A,UrbanFlat 101 - Modern charming Apartment in Le Marais,3.0,5.0,+2.0,↑ Improved,2,5
102 B,102 - Urban Opera Picasso,8.3,8.4,+0.1,↑ Improved,9,9
103 A,Urban Flat 103 - Spacious Flat near Grands Boulevards,7.7,7.8,+0.1,↑ Improved,41,48
103 B,103 - Urban Grands Boulevards,5.8,5.8,0,= Stable,14,10
104 A,104 - Urban Opera Lafayette,5.8,5.8,0,= Stable,10,10
104 B,Urban Flat 104 - 4 Bedroom Flat Opera,8.8,8.6,-0.2,↓ Degraded,4,12
105 B,105 - Urban Haussmann Opera,7.3,7.5,+0.2,↑ Improved,62,68
106 B,106 - Urban Luxury Opera Gustav Klimt,8.2,8.7,+0.5,↑ Improved,17,24
107 A,107 - Urban Luxury Opera Vinci,7.3,7.4,+0.1,↑ Improved,23,23
107 B,Urban Flat 107 - Sublime 4 Bedroom Opera Paris,X,9.0,NEW,★ New Rating,0,2
108 A,Urban Flat 108 - Classic Parisian 4 BDR Flat,6.5,6.5,0,= Stable,15,16
108 B,Urban Flat 108 - Stunning 4 BDR Flat in Paris,7.0,7.0,0,= Stable,1,2
110 B,Urban Flat 110 - Luxury 3 Bedroom near Galeries Lafayette,7.3,6.9,-0.4,↓ Degraded,8,11
110 A,Urban Flat 110 - Luxury 3BDR Flat near Opera Paris,6.7,6.7,0,= Stable,11,11
111 B,111- Urban Theatre de la Madeleine,7.6,7.2,-0.4,↓ Degraded,18,24
111 A,Urban Flat 111 - Urban Lovely Flat Madeleine,6.0,6.0,0,= Stable,2,2
112,112 - Urban Atelier Saint Michel,6.8,6.9,+0.1,↑ Improved,114,112
113 B,113 - Urban Vuitton Lemoine,7.5,7.6,+0.1,↑ Improved,106,110
114,114 - Urban Saint Denis Couture,6.1,6.2,+0.1,↑ Improved,68,70
115 A,115 - Urban Vuitton Saint Denis,7.0,6.9,-0.1,↓ Degraded,50,51
117 A,Urban Flat 117 - Charming 3BDR Apartment in Paris,7.5,8.0,+0.5,↑ Improved,9,10
118 B,Urban Flat 118 - Luxury 4 BDR Flat near Saint Germain,8.4,8.7,+0.3,↑ Improved,9,14
118 A,118 - Urban Luxury Flat La Sorbonne,7.4,6.8,-0.6,↓ Degraded,5,4
119 B,Urban Flat 119 - Spacious 5 Bedroom Flat in Paris,10,10,0,= Stable,1,1
119 A,119 - Urban Spacious Apartment Sebastopol,8.0,7.9,-0.1,↓ Degraded,11,14
120 B,Urban Flat 120 - Charming 3 bedroom Flat in Le Marais,7.1,7.2,+0.1,↑ Improved,17,20
120 A,120 - Urban Gorgeous Apartment Le Marais,7.4,7.7,+0.3,↑ Improved,45,41
121,121 - Urban Gorgeous Flat in Montorgueil,8.5,8.6,+0.1,↑ Improved,50,55
122 B,122 - Urban Good Life in Montorgueil,6.8,6.9,+0.1,↑ Improved,52,55
123 B,123 - Urban Luxury Flat in Montorgueil,7.6,7.9,+0.3,↑ Improved,17,22
124 B,124 - Urban Fabulous Flat,7.9,8.1,+0.2,↑ Improved,30,31
125,125 - Urban Montorgueil Street Art,7.3,7.4,+0.1,↑ Improved,63,67
126 B,126 - Urban Amazing 3BR Montorgueil,7.6,7.3,-0.3,↓ Degraded,79,88
127 A,127 - Spacious 4BR in Montorgueil,7.7,8.0,+0.3,↑ Improved,20,25
127 B,127 - Urban Beautiful 4BR in Montorgueil,5.5,5.5,0,= Stable,11,11
128 A,Urban Flat 128 - Art Rock 4BDR Flat near Champs-Elysees,6.8,5.9,-0.9,↓ Degraded,11,14
128 B,UrbanFlat 128 - Champs-Elysees Iconic Penthouse,X,5.0,NEW,★ New Rating,0,2
129 B,Urban Flat 129 - Sublime Art Love Champs-Elysees,6.0,6.3,+0.3,↑ Improved,12,13
129 A,Urban Flat 129 - Art Love Champs-Elysees,6.0,6.0,0,= Stable,5,5
130 B,130 - Urban Brand New 110m2 Flat in Montorgueil,8.1,8.0,-0.1,↓ Degraded,110,110
131 A,131 - Urban Brand New 110m2 Beautiful Flat in Montorgueil,7.4,7.5,+0.1,↑ Improved,16,16
132 B,132 - Urban Beautiful Montorgueil,8.5,7.8,-0.7,↓ Degraded,55,59
133 B,133 - Urban Amazing Flat Montorgueil,7.6,7.5,-0.1,↓ Degraded,39,43
134 B,134 - Urban Gorgeous Flat in Montorgueil,8.0,8.1,+0.1,↑ Improved,68,70
135 B,135 - Urban Five Star Apartment in Center of Paris,8.5,8.3,-0.2,↓ Degraded,49,54
136 B,136 - Urban Beaumarchais Voltaire,6.6,6.6,0,= Stable,45,49
138 A,138 - Urban Beautiful Duplex in Saint Germain,7.4,7.6,+0.2,↑ Improved,8,8
138 B,Urban Flat 138 - Beautiful Duplex in Saint Germain,8.5,7.8,-0.7,↓ Degraded,2,7
139 A,139 - Urban Pretty Duplex in Saint-Germain,5.7,5.7,0,= Stable,11,11
140 B,140 - Urban Duplex near Saint-Germain des Pres,7.9,8.1,+0.2,↑ Improved,33,35
141 A,141 - Beautiful Flat Triangle d Or Champs Elysees,8.3,8.6,+0.3,↑ Improved,35,41
141 B,141 - Urban Beautiful Flat near Champs-Elysees,5.0,5.0,0,= Stable,11,10
153,153 - Urban Pretty Flat in Center of Paris,7.3,7.3,0,= Stable,94,99
154,154 - Urban Atelier Home Cinema in Paris,6.4,6.3,-0.1,↓ Degraded,49,46
156 A,156 - Urban YSL Flat in Montorgueil,6.8,6.3,-0.5,↓ Degraded,44,43
156 B,Urban Flat 156 - YSL Saint Denis,7.3,7.8,+0.5,↑ Improved,8,14
157 A,Urban Flat 157 - Coco Chanel Flat in Montorgueil,7.8,7.9,+0.1,↑ Improved,36,38
157 B,157 - Urban Coco Chanel Flat in Montorgueil,8.0,7.3,-0.7,↓ Degraded,10,14
158 B,158 - Urban Louis Vuitton Flat in Montorgueil,8.3,8.3,0,= Stable,72,76
159 B,Urban Flat 159 - Charming 3BDR Flat in Paris,7.4,7.4,0,= Stable,16,16
159 A,159 - Urban Beautiful brand new flat in Paris,7.6,7.7,+0.1,↑ Improved,33,39
160 A,160 - Urban Fashion Week Paris Vuitton,6.2,6.1,-0.1,↓ Degraded,43,43
160 B,Urban Flat 160 - Fashion week Paris Central flat,8.0,7.5,-0.5,↓ Degraded,3,8
161 A,Urban Flat 161 - Sublime 4BDR Luxury Flat in Paris,6.7,7.0,+0.3,↑ Improved,7,8
161 B,UrbanFlat 161 - Spacious Apartment Rue de Paradis,X,3.0,NEW,★ New Rating,0,1
162,162 - Urban Studio in Montorgueil,8.1,8.0,-0.1,↓ Degraded,52,58
164,164 - Charming Studio in Center of Paris,5.0,4.8,-0.2,↓ Degraded,58,64
165,165 - Urban Studio near Haussmann Boulevard,4.5,4.1,-0.4,↓ Degraded,29,30
165 B,UrbanFlat 165 - Boetie - Champs Elysees Studio,X,1.0,NEW,★ New Rating,0,1
166,166 - Urban Luxury Apartment in Center of Paris,8.1,8.2,+0.1,↑ Improved,49,52
167,Urban Flat 167 - Luxury 1 Bedroom Flat in Paris,7.9,7.7,-0.2,↓ Degraded,33,38
168,Urban Flat 168 - Spacious 1-Bedroom Apartment in Paris,8.3,8.1,-0.2,↓ Degraded,32,37
169,Urban Flat 169 - Pretty Flat Bercy Coriolis,7.0,7.0,0,= Stable,67,72
170 A,170 - Sublime Flat in Center of Paris,8.3,8.4,+0.1,↑ Improved,48,53
172,Urban Flat 172 - Pretty Flat Gaite Montparnasse Cinema,7.1,7.7,+0.6,↑ Improved,23,28
173,Urban Flat 173 - Charming Flat Atelier Gaite Montparnasse,5.9,6.3,+0.4,↑ Improved,34,37
174,Urban Flat 174 - Vuitton St Denis,7.2,7.3,+0.1,↑ Improved,37,42
175,Urban Flat 175 - Loft St Denis,6.3,5.9,-0.4,↓ Degraded,22,25
176,Urban Flat 176 - Charming 3 Bedroom in Montorgueil,7.5,7.4,-0.1,↓ Degraded,26,33
177,Urban Flat 177 - Lovely Studio in Paris,6.4,6.3,-0.1,↓ Degraded,19,19
178 B,Urban Flat 178 - Cosy 2 Bedroom in center of Paris,4.9,4.9,0,= Stable,6,6
178 A,UrbanFlat 178 - Charming Apartment for 6 in Heart of Paris,5.0,5.3,+0.3,↑ Improved,2,3
179,Urban Flat 179 - Pretty Loft Montorgueil,7.3,7.1,-0.2,↓ Degraded,37,43
180,Urban Flat 180 - Charmant Appartement au coeur du Marais,8.4,8.6,+0.2,↑ Improved,38,41
182,Urban Flat 182 - Spacious 4 Bedroom Flat in Paris,7.1,7.0,-0.1,↓ Degraded,18,18
183,183 - Villette Studio,3.6,3.6,0,= Stable,5,5
184,Urban Flat 184 - Charming 1 BDR Flat in Paris,5.9,5.9,0,= Stable,13,13
185,Urban Flat 185 - Pretty 2 Bedroom Apartment in Paris,5.8,5.8,0,= Stable,14,14
186,Urban Flat 186 - Spacious 3 Bedroom Flat in Paris,5.1,5.1,0,= Stable,11,11
187,Urban Flat 187 - Sublime 1 Bedroom in Paris,4.9,4.9,0,= Stable,16,16
188 B,Urban Flat 188 - Stunning 4 Bedroom Flat in Paris,7.0,7.0,0,= Stable,3,3
188,Urban Flat 188 - Sublime 4 Bedroom Apartment in Paris,8.5,7.6,-0.9,↓ Degraded,4,8
189,Urban Flat 189 - Atelier Montparnasse Vuitton,7.6,7.6,0,= Stable,28,38
190,190 - Loft Gaite-Montparnasse,7.7,7.8,+0.1,↑ Improved,42,49
191 A,Urban Flat 191 - Luxury 3 Bedroom Apartment - Madeleine,8.8,8.8,0,= Stable,4,4
192,Urban Flat 192 - Cosy Flat Basfour,4.8,5.1,+0.3,↑ Improved,12,13
193 A,Urban Flat 193 - Barbie in Paris,4.7,5.1,+0.4,↑ Improved,18,19
193 B,Urban Flat 193 - Barbie Paris,6.3,6.9,+0.6,↑ Improved,9,14
194 B,Urban Flat 194 - Spacious 3 Bedroom Montmartre,6.7,6.7,0,= Stable,12,12
194 A,Urban Flat 194 - Cosy 3 Bedroom Opera Grands Boulevards,7.8,7.7,-0.1,↓ Degraded,6,11
195 A,UrbanFlat 195 - Cosy Triplex in center of Paris,7.0,7.7,+0.7,↑ Improved,1,3
196,Urban Flat - 196 Saint Honore,8.7,8.8,+0.1,↑ Improved,6,15
199,Urban Flat 199 - Parisian 5 Bedroom Central Flat,6.0,6.0,0,= Stable,1,1
199 B,Urban Flat 199 - Beautiful 5 Bedrooms in the Center,7.3,7.3,0,= Stable,3,3
